bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
BFL1.C,Salon Solutions,Long Buffer 7 Grits 5pk,,Black/Pink,piece,SSBFPNO12,Cash,For Cancellation,J-003,C,Supernail,Long Buffer,0.29,45,35,For Cancellation,BLPI - Dasma,0
BFL2.C,Salon Solutions,Long Buffer 3 Grits,,Black/White,piece,SSBFPNO13,Cash,For Cancellation,---,C,Supernail,Long Buffer,0.29,45,35,For Cancellation,BLPI - Dasma,0
BFL3.C,Salon Solutions,IBD Diamond Buffer File,,Grey,piece,SSBFPNO14,Cash,For Cancellation,---,C,,IBD,,,,For Cancellation,BLPI - Dasma,0
LMP1.C,Salon Solutions,Tube Desk Lamp,Short,White,piece,SSLMPPNO1,Cash,For Cancellation,HX402,C,Tony Lamps,Tube Desk,11.27,,800,For Cancellation,BLPI - Dasma,0
LMP2.C,Salon Solutions,Tube Desk Lamp,Short,Black,piece,SSLMPPNO2,Cash,For Cancellation,HX402,C,Tony Lamps,Tube Desk,11.27,,800,For Cancellation,BLPI - Dasma,0
LMP3.C,Salon Solutions,Tube Desk Lamp,Tall,White,piece,SSLMPPNO3,Cash,For Cancellation,HX402,C,Tony Lamps,Tube Desk,14.4,,980,For Cancellation,BLPI - Dasma,0
LMP4.C,Salon Solutions,Desk Lamp,,Black,piece,SSLMPPNO4,Cash,For Cancellation,HX2256,C,Tony Lamps,Desk Lamp,15.65,,1100,For Cancellation,BLPI - Dasma,0
LMP5.C,Salon Solutions,Desk Lamp,,Silver,piece,SSLMPPNO5,Cash,For Cancellation,102C,C,Tony Lamps,Desk Lamp,25.04,,1500,For Cancellation,BLPI - Dasma,0
LMP6.C,Salon Solutions,Desk Lamp,,Black,piece,SSLMPPNO6,Cash,For Cancellation,102C,C,Tony Lamps,Desk Lamp,25.04,,1500,For Cancellation,BLPI - Dasma,0
LMP7.C,Salon Solutions,Desk Lamp,,White,piece,SSLMPPNO7,Cash,For Cancellation,8811,C,Tony Lamps,Desk Lamp,28.17,,1700,For Cancellation,BLPI - Dasma,0
LMP8.C,Salon Solutions,Desk Lamp,,Black,piece,SSLMPPNO8,Cash,For Cancellation,8811,C,Tony Lamps,Desk Lamp,28.17,,1700,For Cancellation,BLPI - Dasma,0
LMP9.C,Salon Solutions,Desk Lamp,,Silver,piece,SSLMPPNO9,Cash,For Cancellation,HX367,C,Tony Lamps,Desk Lamp,12.52,,850,For Cancellation,BLPI - Dasma,0
LMP10.C,Salon Solutions,Desk Lamp,,Silver,piece,SSLMPPNO10,Cash,For Cancellation,288,C,Tony Lamps,Desk Lamp,10.96,,750,For Cancellation,BLPI - Dasma,0
LMP11.C,Salon Solutions,Desk Lamp,,White,piece,SSLMPPNO11,Cash,For Cancellation,H033,C,Tony Lamps,Desk Lamp,7.042,,550,For Cancellation,BLPI - Dasma,0
LMP12.C,Salon Solutions,Desk Lamp,,Grey,piece,SSLMPPNO12,Cash,For Cancellation,H033,C,Tony Lamps,Desk Lamp,7.04,,550,For Cancellation,BLPI - Dasma,0
LMP13.C,Salon Solutions,Desk Lamp,,White,piece,SSLMPPNO13,Cash,For Cancellation,6540,C,Tony Lamps,Desk Lamp,28.17,,1700,For Cancellation,BLPI - Dasma,0
